hash,AMSAT,AMSAT_RGC,BreakID-Kissat,CaDiCaL,Cadical_ESA,IsaSAT,Kissat_MAB-DC,Kissat_MAB_Binary,Kissat_MAB_ESA,hCaD-bva,hCaD-pbva,hKis-bva,hKis-pbva,kissat-sc2024,vresult,nb_vars,nb_clauses,family,track,avg_time
00d1fe07ab948b348bb3fb423b1ef40d,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,miter,main_2024 | submissions_2024,10000.000
02066c116dbacc40ec5cca2067db26c0,34.6687,35.5782,6.33859,10.1343,10.4717,3094.05,9.40896,11.3579,11.2873,11.1061,18.2187,10.8601,8.52669,14.409,unsat,,,planning,anni_2022 | main_2015 | main_2023 | main_2024,291.803
0265448c232e3a25aa5bcd29b1b14567,558.421,567.96,1169.04,824.718,671.214,10000.0,1237.72,1414.81,1263.63,444.922,487.545,700.285,2228.19,275.708,unsat,,,hamiltonian,main_2024 | submissions_2024,1777.158
02e4f23ed59566d343b605dc2cc30a01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,reg-n,main_2024 | submissions_2024,10000.000
02f6ca52f1ada872d82035088701b66a,699.432,681.377,10000.0,10000.0,10000.0,61.2867,971.981,1818.62,929.506,709.044,2413.75,888.747,718.54,145.143,unsat,,,software-verification,main_2024 | submissions_2022,2605.147
04ded94454830d4ea960327e8b91f5a3,76.7072,77.1093,820.359,42.8164,1074.9,10000.0,1319.23,1185.5,98.6444,185.666,625.0,111.128,231.453,627.157,sat,,,minimum-disagreement-parity,main_2024 | submissions_2022,1409.227
04e219c640ed59dc68ea2d50493de5b5,72.7297,69.584,24.7335,71.2814,66.5328,10000.0,68.6016,21.0339,122.9,10000.0,3518.15,49.7503,10000.0,143.43,sat,,,polynomial-multiplication,anni_2022 | main_2017 | main_2024,3096.516
05c8e94aaee86390eaf6e68dd3ec3570,52.6898,63.8184,264.232,1884.89,10000.0,10000.0,3561.25,10000.0,10000.0,10000.0,10000.0,726.425,10000.0,667.004,sat,,,heule-nol,main_2024 | submissions_2024,6985.415
05ed64e4e6229f446082752936768489,461.888,464.252,263.028,325.479,350.08,1947.73,562.204,553.227,550.117,353.649,270.517,262.359,1260.76,238.451,unsat,,,argumentation,main_2024 | submissions_2023,606.779
07b476c83150d3cb7e08f5d045e255ab,10000.0,10000.0,0.497382,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat,,,tseitin-formulas,anni_2022 | handmade_2003 | main_2024,10000.000
07c50b89d97a55b6e1629999a445a2ba,1429.68,1495.64,2086.75,1701.79,1936.03,10000.0,1765.02,1867.3,2255.86,1944.73,2396.21,1982.39,10000.0,1553.06,unsat,,,scheduling,anni_2022 | application_2013 | main_2024,3400.217
